categories,is_ny,locations,title,url
"['Analytics', 'Content', 'Creator Services &amp; Business', 'Data &amp; Analytics']",True,"['New York', 'USA']","Analyst, Pricing and Yield",https://www.spotifyjobs.com/job/analyst-pricing-and-yield-ocby9fwe/
"['Data &amp; Analytics', 'Engineering &amp; IT', 'Machine Learning', 'Software Engineering']",True,"['New York', 'USA']",Machine Learning Infrastructure Engineer,https://www.spotifyjobs.com/job/machine-learning-infrastructure-engineer-oa2e8fw8/
"['Analytics', 'Data &amp; Analytics']",False,"['London', 'UK']","Data Scientist, Markets Research",https://www.spotifyjobs.com/job/data-scientist-markets-research-ofdw7fwf/
"['Analytics', 'Data &amp; Analytics']",True,"['New York', 'USA']","Data Scientist, User Fraud",https://www.spotifyjobs.com/job/data-scientist-user-fraud-ordg8fwc/
"['Analytics', 'Data &amp; Analytics', 'Data Science']",True,"['New York', 'USA']",Sr. Data Scientist &#8211; Data for Insights Practice,https://www.spotifyjobs.com/job/sr-data-scientist-data-for-insights-practice-olof9fw7/
"['Analytics', 'Data &amp; Analytics', 'Data Science']",True,"['New York', 'USA']","Senior Data Scientist, Creator Marketplace",https://www.spotifyjobs.com/job/senior-data-scientist-creator-marketplace-ol1u9fwz/
"['Data &amp; Analytics', 'Engineering &amp; IT', 'Machine Learning', 'Software Engineering']",False,"['London', 'UK']",Research Engineer &#8211; Machine Listening,https://www.spotifyjobs.com/job/research-engineer-machine-listening-ookg9fwh/
"['Analytics', 'Data &amp; Analytics', 'Data Science']",True,"['New York', 'USA']","Data Scientist, Advanced Marketing Analytics",https://www.spotifyjobs.com/job/data-scientist-advanced-marketing-analytics-o9nb9fw0/
"['Analytics', 'Data &amp; Analytics', 'Data Science']",True,"['New York', 'USA']","Data Scientist, Marketing Analytics",https://www.spotifyjobs.com/job/data-scientist-marketing-analytics-o7sn9fwf/
"['Analytics', 'Data &amp; Analytics', 'Engineering &amp; IT', 'Software Engineering']",True,"['New York', 'USA']",Data Engineer- Free Product,https://www.spotifyjobs.com/job/data-engineer-free-product-ozek9fwq/
"['Analytics', 'Data &amp; Analytics', 'Data Science']",True,"['New York', 'USA']","Data Scientist, Studios Analytics",https://www.spotifyjobs.com/job/data-scientist-studios-analytics-oarp9fwj/
